ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
BRBY.L,Burberry,UK,Consumer Cyclical,10.979949999999999,1.10,3934943232,Mid,183.08333,52.4,11.07,11.62,4,4,0.000,38
JMAT.L,Johnson Matthey,UK,Materials,19.16,0.58,3216683264,Mid,,44.7,20.25,20.89,4,2,0.000,40
HLN.L,Haleon,UK,Consumer Defensive,3.7760000000000002,2.00,33266296832,Large,19.878948,66.6,3.48,3.63,3,5,0.000,55
NXT.L,Next,UK,Consumer Cyclical,151.95000000000002,1.00,17345404928,Large,20.395973,65.4,141.74,135.68,2,4,0.000,57
MKS.L,Marks & Spencer,UK,Consumer Cyclical,3.97,1.28,8161913856,Mid,30.546154,61.4,3.70,3.61,0,7,0.000,61
WPP.L,WPP,UK,Communication,3.029,2.85,3266850560,Mid,,64.9,2.71,2.85,1,2,0.000,48
IMB.L,Imperial Brands,UK,Consumer Defensive,28.98,2.84,22219157504,Large,13.605633,62.9,27.75,30.08,3,2,0.000,50
AV.L,Aviva,UK,Financials,6.92,0.64,20686077952,Large,25.614813,68.7,6.44,6.47,1,4,0.000,56
HLMA.L,Halma,UK,Technology,35.56398,-0.44,0,Small,36.663895,32.2,40.68,38.64,1,4,0.000,47
HIK.L,Hikma Pharmaceuticals,UK,Healthcare,15.97,1.27,3336936192,Mid,11.82963,59.3,15.11,15.03,5,5,0.000,54
INF.L,Informa,UK,Communication,8.955,0.94,11214000128,Large,895.80005,57.2,8.59,8.61,5,1,0.000,34
JD.L,JD Sports Fashion,UK,Consumer Cyclical,0.938,1.19,4487898624,Mid,10.422222,69.2,0.85,0.81,0,6,0.000,68
KGF.L,Kingfisher,UK,Consumer Cyclical,3.032,-0.26,4997703168,Mid,21.657143,62.0,2.87,3.06,3,2,0.000,47
MRO.L,Melrose Industries,UK,Industrials,4.793,1.48,5974059008,Mid,16.531036,53.2,4.73,5.52,3,2,0.000,46
MNG.L,M&G,UK,Financials,3.545,-0.11,8445492736,Mid,29.541668,64.1,3.32,3.00,2,5,0.000,56
PSON.L,Pearson,UK,Communication,12.725,1.07,7640287232,Mid,24.950981,61.2,11.83,10.56,2,6,0.000,61
RTO.L,Rentokil Initial,UK,Industrials,4.29,0.47,10792153088,Large,47.655556,39.0,4.44,4.50,6,2,0.000,33
RMV.L,Rightmove,UK,Technology,4.687,2.54,3466895616,Mid,16.739286,64.1,4.36,4.85,3,2,0.000,49
SDR.L,Schroders,UK,Financials,5.89,0.00,9184400384,Mid,17.323528,66.7,5.85,5.08,0,8,0.000,68
SN.L,Smith & Nephew,UK,Healthcare,11.675,0.47,9825510400,Mid,21.620369,58.3,11.33,12.22,3,3,0.000,49
WEIR.L,Weir Group,UK,Industrials,25.740000000000002,0.00,6682414080,Mid,27.382978,60.6,24.34,28.34,5,2,0.000,39
BNZL.L,Bunzl,UK,Industrials,27.84,0.58,0,Small,19.758865,66.8,25.76,23.07,2,5,0.000,61
CRDA.L,Croda International,UK,Materials,30.400000000000002,3.93,0,Small,69.09091,57.4,29.83,28.63,0,7,0.000,55
ENT.L,Entain,UK,Consumer Cyclical,5.746,0.03,3676912128,Mid,,57.8,5.57,6.36,3,2,0.000,43
FRES.L,Fresnillo,UK,Materials,25.37,-0.63,0,Small,17.992908,41.7,28.92,31.55,5,4,0.000,40
ADM.L,Admiral Group,UK,Financials,37.26,3.79,11137089536,Large,15.333332,65.7,34.76,32.14,2,7,0.000,66
BEZ.L,Beazley,UK,Financials,12.915000000000001,-0.35,7633397248,Mid,11.848623,60.8,12.85,11.25,0,6,0.000,64
DPLM.L,Diploma,UK,Industrials,76.5,0.26,10264960000,Large,54.290783,68.4,70.72,60.73,0,6,0.000,56
EDV.L,Endeavour Mining,UK,Materials,35.73435,-0.07,8613557248,Mid,13.639064,44.0,39.25,40.43,4,4,0.000,46
ITRK.L,Intertek Group,UK,Industrials,58.35,0.00,0,Small,27.013887,69.4,56.79,48.36,2,7,0.000,63
IMI.L,IMI,UK,Industrials,29.88,0.27,7076656128,Mid,24.096773,57.0,28.82,26.88,0,7,0.000,62
AJB.L,AJ Bell,UK,Fintech,5.97,0.00,2353228032,Mid,19.883333,46.9,6.05,5.16,2,5,0.000,60
AML.L,Aston Martin,UK,Consumer Cyclical,0.36512,1.25,369751744,Small,,44.4,0.40,0.51,5,4,0.000,38
GRG.L,Greggs,UK,Consumer Cyclical,16.819000000000003,2.87,1714781440,Small,13.673984,61.4,16.35,16.19,0,5,0.000,61
ITV.L,ITV,UK,Communication,0.7475,0.20,2795621888,Mid,12.458334,44.3,0.79,0.79,4,2,0.000,47
DOM.L,Domino's Pizza Group,UK,Consumer Cyclical,2.004,1.47,763840192,Small,13.359999,66.2,1.89,1.85,0,5,0.000,61
